index,Question 1,Answer 1,Question 2,Answer 2,Question 3,Answer 3
280,How many annotators are required to begin the annotation process?,Tasks require 6 unique annotators.,What is required to determine consensus in the workflow?,4 reviewers are required for consensus.,What happens if no consensus is reached in the 'Determine consensus' block?,"If no consensus is reached, the process remains incomplete and cannot proceed to the 'Archive' stage."
111,How can I switch between the Linear and Sigmoid VOI LUT functions in the application?,You can switch between Linear and Sigmoid VOI LUT functions by using the toggle provided next to the VOI LUT Function options in the interface.,What happens if the DICOM metadata does not specify a VOI LUT function?,"If the DICOM metadata does not specify a VOI LUT function, the system defaults to the Linear VOI LUT Transfer Function.",What is the significance of the Data overlay toggle in the interface?,"The Data overlay toggle allows you to enable or disable additional data visualizations over the image, assisting in better interpretation of the medical imaging."
443,How can I filter the list of tasks by status in this application?,"You can filter the list of data units by task status using the 'Filter' button labeled as 'C'. You can filter by Dataset, User, Data Type, or Status.","What does the 'Start labeling' button do, and where is it located?","The 'Start labeling' button, labeled as 'E', is used to begin labeling a task. It is located on the right side of the interface.","Where can I see the priority number of each task, and how is it sorted by default?","The priority number of each task is shown in the column labeled as 'G'. By default, the tasks are listed in descending order of priority."
473,How do I start the automated labeling process in the application?,Click the 'Automated labelling' button in the bottom left corner of the Label Editor to bring up options for automated labeling.,What settings should I select to track an instance using the advanced model?,"Under the 'Tracking and interpolation' section, select 'Tracking' under the 'Method' heading, choose the object instance you want to track, and then select 'Advanced' under the 'Advanced settings' for higher accuracy.",How can I specify the range of frames for tracking an object?,"The 'Tracking range' setting lets you specify the total range of frames instances are tracked across. For example, in the screenshot, it is set from frame 282 to 362."
499,How can I toggle the model training API details?,Click on the 'Training API details' button to toggle a code snippet with model training API details.,What does the status 'In progress' indicate for a dataset?,"The status 'In progress' indicates that the dataset is currently being processed or modified in some way, such as labeling or training.",How do I proceed with labeling in the application?,"Navigate through the training flow, select the label rows, and set parameters accordingly to proceed with labeling."
351,How do I select an existing ontology from the list?,"To select an existing ontology from the list, click the 'Select' button next to the desired ontology.",What should I do if I want to create a new ontology?,"If you want to create a new ontology, click the 'New ontology' button on the right.",What is the next step after attaching an ontology to the project?,"After attaching an ontology to the project, click the 'OK' button to confirm the attachment."
86,What are the layout options available for displaying mammography files in the application?,"The layout options available are 'Off', '2x2', and '4x1'.","In the current view, which mammography layout is being used?","The current view shows a '2x2' layout, with MLO views in the top row and CC views in the bottom row.",How can I preview how each mammography layout setting will display files in the Label Editor?,You can hover over a mammography layout setting to see how each file will be displayed in the Label Editor if the setting is selected.
276,What model type should I select for detecting and labeling instances of objects within an image?,You should select 'Instance segmentation' since it is designed for detecting and labeling instances of objects within the training data.,What frameworks are available when creating a new model for segmentation?,The available frameworks listed are 'PYTORCH'.,Is it possible to use bounding boxes as the ontology shape for my car detection model?,"Yes, bounding boxes are supported as an ontology shape according to the documentation."
418,How do I add a new collaborator with a specific role?,"First, select a user by typing their email address and choosing from the list. Then, select a role from the options provided, such as 'Viewer' or 'Admin'. Finally, click the 'Add' button to add the user with the specified role.",What permissions does a 'Viewer' role have?,"A 'Viewer' has read-only access to the workflow template. They can attach the template to projects but cannot modify, delete, or share the template.",Can an 'Admin' change workflow settings?,"Yes, an 'Admin' has full access, including the ability to edit, delete, and share. They can also change workflow settings and assign roles."
229,How can I annotate a butterfly in the image using the Label Editor?,"In the Label Editor, you can annotate a butterfly by selecting the 'Butterfly' class from the Classes list and drawing a bounding box around the butterfly as shown in the screenshot.",What label has been applied to the butterfly in the screenshot?,The label 'Type of butterfly: ringlet' has been applied to the butterfly as indicated in the Labels section below the Classes list.,Can I add more classes for different objects in the image?,"Yes, you can add more classes to label different objects, such as 'Flower', 'Plant', and 'Leaf', as shown in the Classes list in the screenshot."
101,How can I load the next DICOM file in the editor?,"You can load the next DICOM file using the component labeled 'A' in the screenshot, which provides options to load previous or next DICOM files.",What tools are available in the toolbar for annotation and adjustment?,"The toolbar, indicated by 'B' in the screenshot, includes scissors for bulk vertex removal, measurement tools, windowing adjustment, image centering, and zoom options.",How can I perform automated labeling in the DICOM editor?,"In the screenshot, you can find an 'Automated labelling' button at the bottom of the 'D' section, which you can use to perform automated labeling."
545,How can I give my project a title?,Enter the project title in the 'Title' field under Project settings.,Is it mandatory to add a description when creating a new project?,"No, adding a description is optional as indicated by the text 'Enter description (optional)'.","What is the purpose of project tags, and how do I add them?","Project tags are used for categorizing and finding your projects. If you're part of an Organization, you can enter tags in the 'Tags' field under Project settings."
270,What is the purpose of the 'Title of model' field in this application?,"The 'Title of model' field is used to specify a name for your model. In this screenshot, the model is named 'Apple detection model'.",Which model type is selected in the application?,The selected model type in the application is 'Object detection'.,How can I add more ontologies to this model?,You can add more ontologies to the model by clicking the '+ Add model ontology' button in the 'Set up the model's ontology' section.
590,How do I upload files in the Encord platform?,Navigate to 'Files' under the 'Index' heading and click the '+Upload files' button to upload files.,Can I create a new folder to organize my uploads?,"Yes, you can click '+New folder' to create a new folder before uploading your files.",Is there another way to add files to a folder?,"Yes, you can also right-click a folder to add data."
466,How can I view more details about the 'Apple classification' project?,"To view more details about the 'Apple classification' project, click on 'View' next to the project in the Projects pane.",What role is assigned to manage these projects listed?,The role assigned to manage these projects is 'Admin'.,How can I see all projects related to 'Apples' in this dataset?,You can see all projects related to 'Apples' in the Projects pane under the list of Titles corresponding to that dataset.
533,How can I add existing files to my dataset in the application?,Click on the '+ Attach existing files' button to open a dialog that allows you to select and attach existing files to your dataset.,What should I do after clicking '+ Attach existing files' to attach files?,"After clicking '+ Attach existing files', a dialog appears. You can then select the folders containing the files you want to attach to the dataset. Double-click on a folder to see its contents and select the files.",How do I know the file types and sizes in my dataset?,"In the dataset view, each file is listed with its type and size under the 'Type' and 'Size' columns, respectively. For example, one file is of 'video/quicktime' type and is 168.81 MB."
338,What happens if I make a collaborator an Admin in this project?,"According to the notification, upgrading a collaborator to admin cannot be undone. The collaborator will have full administrative control over the project.",What should I do if I decide not to upgrade the collaborator to Admin after seeing this warning?,"If you decide not to proceed, click the 'Cancel' button to stop the upgrade process.",Where in the application can I assign roles to collaborators?,"You can assign roles to collaborators in the 'Settings' section of your project, as indicated by the current view in the screenshot."
724,What is the significance of the 'Annotation Duplicates' value shown in the screenshot?,"The 'Annotation Duplicates' value of 0.48523 indicates the level of repetition in annotations, which helps in determining whether the objects (oranges, in this case) should be annotated separately or as a group.",Why are the annotations labeled as 'orange' if the objects appear blue in the screenshot?,"The label 'orange' likely refers to the original object being annotated, which is oranges, even if the visual representation in the screenshot is altered or stylized to appear blue.",What could the email 'robot@cord.tech' signify in the context of this screenshot?,The email 'robot@cord.tech' could signify the contact information for an automated system or support team responsible for handling annotation-related queries or issues.
157,How can I prevent a Car bitmask label from being overlapped by other bitmasks?,You can prevent a Car bitmask label from being overlapped by using the toggle in the Labels section of the Label Editor to set the overlap behavior.,What classes are available for annotation in the current project?,"The classes available for annotation are Car, Tyre, and Bus.",How can I access the label settings for a Car label?,You can access the label settings for a Car label by clicking the icon in the bottom Labels section next to the Car label.
350,What project type should I select when creating a new project?,Ensure you select the 'Automated QA' Project type.,Is it mandatory to add a description for the project?,"No, adding a description is optional as indicated in the 'Description' field.",Can I add tags to my project if I'm part of an Organization?,"Yes, if you are part of an Organization, you can add optional Project tags by selecting them from the drop-down."
1,What is the purpose of creating a model in this application?,"The purpose is to create an object detection model that can identify and label specific objects, like apples, within a dataset using a structure such as bounding boxes.",Which ontology shapes are supported for the object detection model?,"The supported ontology shapes for the object detection model are Bounding box, Polygon, and Bitmask.",What framework and model type are selected for the new model setup in the application?,The framework selected is PYTORCH and the model type selected is YOLO_V5 for the new model setup.
220,How do I enable the Study level workflow in the DICOM section?,Navigate to the Settings tab of your Project and enable the Study level workflow toggle in the DICOM section.,What should I do after enabling the Study level workflow?,"After enabling the Study level workflow, click the Start labeling study button, which is visible if the Project contains multiple series belonging to the same study.",Where can I find the option to start labeling a DICOM study?,You can find the Start labeling study button in the top right corner of the screen once you navigate to the Settings tab.
352,How can I attach an existing dataset to my project?,"To attach an existing dataset, click the 'Attach' button next to the dataset you want to attach.",How do I create a new dataset from this screen?,"To create a new dataset, click the '+ New dataset' button at the top right of the screen.",What should I do after selecting my datasets to add them to the project?,"After selecting your datasets, click 'OK' to attach them to the project."
434,How many total tasks are there in this project?,There are a total of 16 tasks in the Traffic Training Project Demo.,What is the progress of the annotation tasks?,"0 out of 16 annotation tasks have been completed, which is 0% progress.",Why can't administrators access annotator tasks directly?,"Tasks are meant for training annotators, and preventing administrators from accessing them avoids accidental completion of these training tasks. Administrators can confirm submissions using the Activity and Data tabs."
492,How do I access the Automated labeling feature in this application?,"To access the Automated labeling feature, click the 'Automated labeling' button located in the bottom left of the screen.",What should I do after opening the automated labeling drawer?,"After opening the automated labeling drawer, navigate to the 'Agents' section, select the Agent you want to use from the dropdown, and then click 'Trigger agent' to call the API endpoint.",How can I distinguish between different classes in the label list?,"In the label list, classes are listed on the left side. For example, 'Car' is a class with 9 labels already annotated."
429,What should I enter in the 'Title' field when creating a new annotator training project?,"You should enter a meaningful name for your project, such as 'Traffic Training Project Demo'.",What is the next step after entering the training details in the application?,Click 'Next step' to continue to select the Ontology.,Why is it important to choose the correct Ontology for the training project?,It is important to select the exact same Ontology used to create the ground-truth labels in the source Project to ensure consistency and accuracy.
599,How can I delete a file or folder in this application?,"To delete a file or folder, right-click the selection and choose 'Delete'. Be aware that deleting a file removes it from all Datasets it was added to.",What happens when I right-click a file in the application?,"When you right-click a file, a context menu appears with options such as 'Delete' and 'Move to another folder'. You can choose the desired action from these options.",How do I move files to a different folder?,"To move files to another folder, right-click the selection and select 'Move to another folder'. A dialog will appear; start typing the name of the folder, select it, and click 'Move' to confirm."
363,How can I start annotating a task from the Queue tab?,"To start annotating a task, click on 'Initiate' next to the task you want to work on.",What does clicking the three vertical dots in the Actions column do?,Clicking the three vertical dots opens an expanded menu where Administrators and Team Managers can access the 'Release task' function.,What does the 'Release task' option allow you to do?,The 'Release task' option allows Administrators and Team Managers to explicitly release tasks so they can be reassigned.
364,How can I find a specific data asset in the application?,Use the search box labeled 'A. File & Search' to filter the list by file name.,What does the 'Status' column indicate in the data tab?,"The 'Status' column labeled 'D' indicates the current status of each task, such as 'Completed', 'Queued', or 'In Review'.","If I want to view the task details or perform actions, where should I look?",You can view task details or perform actions by clicking 'View' under the 'I. Actions' column.
744,How do I sync project data to make Annotate comments visible in Active?,"To sync project data, log in to the Encord platform, click on 'Active' to view the homepage, mouse over the project you want to sync, click the 'More' icon, and then select 'Sync Project Data.'",Where can I find the option to sync project data?,"On the Active home page, locate the project you wish to sync. Mouse over it to reveal the 'More' icon (three dots), and click on it to find the 'Sync Project Data' option.",What information is displayed for each project in the Active section?,"Each project displays its name, the number of datasets, annotations, classes, and the dates created and last synced."
42,What should I type in the DNS Servers field?,Type 8.8.8.8 in the DNS Servers field.,What do I click after entering the DNS server address?,Click the + button again after entering the DNS server address.,Can I edit the search domain name shown in the screenshot?,"Yes, you can click on 'localdomain' in the Search Domains section to edit it."
474,How can I start tracking an object for 30 consecutive frames?,"To track an object for 30 consecutive frames, right-click on the shape and select 'Track object'. Alternatively, use the keyboard shortcut 'Shift + T'.",What options are available for tracking speed?,The available tracking speed options are 'Standard (fast)' and 'Advanced (slow)'.,How do I delete an object in the application?,"To delete an object, right-click on it and select 'Delete object' or press the 'BACKSPACE' key."
313,How can I find a specific data asset using the Queue tab?,Use the 'Search file' box located at the top left of the Queue tab to filter the list by file name. This allows you to quickly locate a specific data unit or data asset.,What information is provided under the 'Last edited' column?,"The 'Last edited' column shows the timestamp for when the task was last modified, giving you an idea of the most recent updates to the task.",How can I filter tasks based on their status in the Queue tab?,Use the 'Filter by' drop-down menu located at the top right of the Queue tab to show only the tasks of the selected status in the list. This filtered view will also be reflected in the Label Editor.
435,How can annotators begin their evaluation tasks in this application?,Annotators can start their evaluation tasks by clicking the 'Start labelling' button in the upper right or by clicking 'Initiate' next to any given labeling task.,What does the progress chart indicate in the screenshot?,"The progress chart shows that 0 out of 4 annotation tasks have been completed, indicating 0% progress.",What is the role of the 'Summary' and 'Labels' tabs in the interface?,"The 'Summary' tab likely provides an overview of the tasks and progress, while the 'Labels' tab might show detailed information about the specific labels or tasks assigned."
688,What metrics are being compared in the 2D Metrics View?,The 2D Metrics View compares 'Width' on the x-axis and 'Height' on the y-axis.,How can I view the trend line in the 2D Metrics View?,"To show the trend line, ensure the 'show trend' checkbox is checked in the 2D Metrics View.",Where can I access the 2D Metrics View in the application?,You can access the 2D Metrics View under the 'Analytics' tab of the application.
349,How do I report missing labels in the frame?,"To report missing labels, click on the 'Report missing labels' button. This will open a dialog where you can enter details about the missing labels. Once you've provided the necessary information, click 'Submit' to send the report.",What happens after I submit a missing label report?,"After you submit a missing label report, the report is sent to the annotator via the same queue as rejected labels for review and correction.",Can I approve or reject all labels in a frame at once?,"Yes, you can either approve or reject all labels in a frame using the 'Approve all in frame' or 'Reject all in frame' buttons visible at the bottom of the screen."
717,What does the formula shown in the screenshot represent?,The formula in the screenshot represents the mathematical calculation of entropy in information theory.,What is the purpose of calculating entropy according to the documentation?,"In information theory, the purpose of calculating entropy is to determine the average level of 'information', 'surprise', or 'uncertainty' inherent in a random variable's possible outcomes.",Where can I find the implementation of the entropy calculation?,The implementation can be found on GitHub.
506,How can I categorize my project for easier searching in the application?,You can categorize your project by selecting relevant tags from the optional Project tags drop-down menu.,What should I do after giving my project a title and description?,"After giving your project a title and description, click the 'Attach ontology' button to proceed.",Is it possible to change the workflow graph after creating the project?,"No, you cannot alter the workflow graph after project creation."
32,How do I access the properties for Internet Protocol Version 4 (TCP/IPv4) in the Ethernet0 Properties window?,"In the Ethernet0 Properties window, under 'This connection uses the following items', select 'Internet Protocol Version 4 (TCP/IPv4)' and then click on 'Properties'.",What should I do if I'm prompted for an administrator password when accessing these network settings?,"If you're prompted for an administrator password or confirmation, type the password or provide confirmation to continue.",Why is 'Internet Protocol Version 4 (TCP/IPv4)' prominently highlighted in the screenshot?,"Internet Protocol Version 4 (TCP/IPv4) is highlighted to illustrate the step where you select this option before clicking 'Properties' to configure the settings, such as changing the DNS server addresses."
326,How do I select data assets to be copied into my new project?,"In the 'Copy project' window, go to the 'Select data assets' tab and check the boxes next to the data units you want to copy.",What should I do after selecting the desired data assets?,"After selecting the desired data assets, click the 'Next' button to proceed.",How can I filter the list of data assets shown in the window?,You can filter the list of data assets by using the 'Filter by' dropdown menu in the 'Copy project' window.
386,How do I add a collaborator to my project?,"To add a collaborator, click the '+ Invite collaborators' button. This opens a new window where you can enter the email addresses of the people you want to invite.",What should I do after entering the email addresses of collaborators?,"After entering the email addresses, click the 'Add' button to invite them to your project.",Where can I find the 'Invite collaborators' button in the application?,The 'Invite collaborators' button is located in the 'Team' section under the 'Settings' tab of your project.
493,How do I trigger an agent in the automated labeling section?,"To trigger an agent, select the desired agent from the dropdown in the 'Agents' section and then click the 'Trigger agent' button.","What alternative method can I use to trigger an agent, other than using the button?","Alternatively, you can right-click on the editor canvas, click 'Trigger agent,' and then select the agent you want to run.",What does the 'LLM prediction' option in the automated labeling section indicate?,The 'LLM prediction' option indicates that it is in beta and is currently available only for classifications.
492,Where can I find the option for automated labeling in the application?,The automated labeling option is located at the bottom left of the screen and can be accessed by clicking the 'Automated labeling' button.,What should I do after opening the automated labeling drawer?,"After opening the automated labeling drawer, you should open the 'Agents' section to proceed with your task.",How do I use a specific Agent during annotation?,"To use a specific Agent, select the Agent from the dropdown in the 'Agents' section and then click 'Trigger agent' to trigger the Agent and call the API endpoint."
141,How do I access the label editor settings in the application?,Click on the settings icon on the editor header to open the label editor settings.,Where can I enable the option to show angles in polyshapes?,Navigate to the 'Drawing settings' section in the label editor settings and enable the 'Show polyshape angles' toggle.,Will enabling the 'Show polyshape angles' toggle affect existing polyshapes?,"Yes, enabling the toggle will display angles for any existing polyshapes."
702,What is the main functionality of the 'Model Evaluation' section?,"The 'Model Evaluation' section allows users to compare different model prediction sets, such as 'YOLOV8x 20 Epochs' against 'YOLOV8 30 Epochs', and evaluate their performance metrics using outcomes like true positive and false negative counts visible in a bar chart.",How can I adjust the prediction thresholds?,You can adjust the prediction thresholds by using the sliders located in the 'Prediction Thresholds' section. These allow you to change the IOU (Intersection over Union) Threshold and Minimum Confidence Threshold values.,What information can be found under the 'Outcome' tab?,"Under the 'Outcome' tab, you can find a bar chart depicting model outcome counts, like true and false positive counts, for different classes such as 'car', 'pedestrian', and others. This allows for easy visual comparison of model performance across classes."
365,How can I search for a specific instance in the application?,"To search for a specific instance, use the 'Search instance' bar at the top. Enter the identifier or any relevant keyword to filter the instances displayed in the 'Instances' tab.",What action should I take if I want to view more details about an instance?,"To view more details about an instance, click 'View' in the 'Actions' column next to the instance entry you are interested in. This will take you to where the instance is first annotated.",How are instances uniquely identified within the project?,"Instances are uniquely identified by their 'Identifier', which is unique within the project scope. You can find this identifier listed in the 'Identifier' column of the 'Instances' tab."
10,What is the default number of epochs set in the application?,The default number of epochs set in the application is 500.,How can I add training data from a different project?,"To add training data from a different project, click the '+ Add training data' tab.",What should I do after configuring all the training settings to start the training process?,"After configuring all the training settings, click the 'Train model' button to start the training process."
424,How do I know when I can click the 'Consensus reached' button?,The 'Consensus reached' button becomes clickable once the required number of annotators are selected.,What should I do after reaching a consensus on the labels?,"After reaching a consensus, select the annotator who did the best job, then click 'Submit'.",What is the role of the annotator I select as the winner?,The selected annotator's work on the data unit will be used if an Admin or Team Manager exports the labels for the data unit.
417,How do I add a new collaborator to my workflow template?,"Click the '+ Invite collaborators' button, select a user role from the list, type the email address of the user, and click 'Add' to include them.",What should I do if I want to change the role of an existing collaborator?,"To change the role of an existing collaborator, remove the collaborator and re-add them with the desired role through the '+ Invite collaborators' button.",Where can I see the list of current collaborators for my workflow template?,You can see the list of current collaborators under the 'Individuals' section on the 'Teams' tab.
229,What types of annotation can be used with the image editor in Encord?,"In Encord's image editor, you can use annotation types such as bounding boxes, rotatable boxes, polygons, polylines, keypoints, and primitives.",How can I reduce manual annotations in the image editor?,"You can reduce manual annotations by using automation features, such as importing model predictions.",What classification task is being shown for the butterfly in the screenshot?,"The screenshot shows an object classification task, labeling the butterfly with the type 'ringlet'."
690,Where can I find the metric distribution visualization in the application?,You can find the metric distribution visualization on the Analytics page of the application.,How can I change the metric being displayed in the metric distribution section?,You can change the metric by using the 'Metric or Property' drop-down menu within the Metric Distribution section.,What metric is currently selected in the screenshot?,The metric currently selected in the screenshot is 'Uniqueness'.
446,What information does the 'Annotate 1' section (labeled A) provide?,"The 'Annotate 1' section shows the list of annotation stages, indicating how many data units each stage contains. In this case, it indicates 3 data units are in this stage.",How can I start working on a new task according to the screenshot?,"To start working on a new task, click the 'Initiate' button next to the task in the queue. This will assign the task to you automatically if it is unassigned.",What does the 'Start labeling' button (labeled G) do?,"The 'Start labeling' button opens the Label Editor, starting with the highest priority task currently in the queue."
256,How can I edit the classification of the 'Wing' instance in the Label Editor?,"To edit the classification of the 'Wing' instance, click the 'Edit classifications' button next to the 'Wing' entry in the Instance labels section.",What do I do after clicking the 'Edit classifications' button for an object with a 'Relation' attribute?,"After clicking the 'Edit classifications' button, click the 'Set relation...' bar and select the instance you want to link the selected instance to, which appears under the 'This frame' or 'Rest' heading.",How are instances in different frames categorized in the 'Set relation...' section?,Instances in different frames are categorized under the 'Rest' heading in the 'Set relation...' section.
699,What is the first step in the Active model optimization workflow?,The first step in the Active model optimization workflow is to create a project in Annotate.,"After importing predictions, what is the next step in the workflow shown?","After importing predictions, the next step is to review prediction metrics.","In the workflow, what follows after creating collections?","After creating collections, the next step is to send them to Annotate."
524,What is the current project name displayed in the application?,The current project name is 'Audio RLHF'.,How many files are marked as 'Complete'?,There is 1 file marked as 'Complete'.,What is the status of the file 'woof_long.mp3'?,The file 'woof_long.mp3' is completed and the status was updated less than a minute ago.
100,How can I revert a reviewed instance back to pending after approval?,"To revert an approved task to pending, click the green tick icon next to the instance in the Completed Reviews section.",What steps do I follow to finalize the review of a task?,"To finalize the review, click either the 'Approve task' or 'Reject task' button at the top of the screen.",Why might the option to revert reviews be unavailable on my project?,"The revert feature is not available for Manual QA projects, as noted in the documentation."
446,What does section A in the Queue tab represent?,Section A displays the list of annotation stages and shows how many data units each stage currently contains. Clicking a stage lets you view the tasks it contains.,How do I start annotating a task from the screenshot?,"You can start annotating a task by clicking the 'Initiate' button next to the task in section F, or by using the 'Start labeling' button in section G which opens the Label Editor.",How are tasks prioritized in the Queue tab?,Tasks are prioritized based on the priority number shown in section B. They are listed in descending order of priority by default.
327,How can I access the annotation instructions within the application?,Click on the 'Annotation instructions' button located in the top-left corner of the interface.,What format should the annotator instructions be in when uploading them?,The annotator instructions should be uploaded in PDF format.,Where will the uploaded annotation instructions be accessible?,"Once uploaded, annotation instructions will be accessible within the Label Editor."
716,What is the primary purpose of identifying near-duplicate images like the ones shown in the screenshot?,"The primary purpose of identifying near-duplicate images is to eliminate images that slightly differ due to shifts, blurriness, or distortion, which improves the dataset quality by ensuring only the best samples are included.",How can users compare near-duplicate images effectively in the application?,"Users can compare near-duplicate images effectively by using the Explorer grid view workspace, where images are displayed alongside each other to facilitate easy comparison, as shown in the screenshot.",What steps should be taken after identifying near-duplicate images to manage them?,"After identifying near-duplicate images, users should add them to a Collection by clicking 'Add to a Collection,' name the Collection appropriately, and finally create a Dataset to ensure the unwanted images are excluded from the final dataset."
217,How do I link two instances in the application based on the screenshot?,"To link two instances, click the 'Set relation...' bar, select the instance you want to link under the 'This frame' heading, then click 'Done' to confirm the link.",What happens after I click 'Done' after setting a relation between instances?,"After clicking 'Done', the instances are linked, and this is shown in the 'Instance labels' section with the name of the linked instance being displayed.",Where can I find the options to select instances from different frames?,"Instances in the same frame appear under the 'This frame' heading. For instances from different frames, look under the 'Rest' heading in the 'Set relation...' menu."
158,What does the paintbrush icon in the application represent?,"The paintbrush icon represents the 'Can be drawn over' setting, allowing modifications to the Bitmask layer by drawing over it.",How does the 'Can be drawn over' setting affect the Bitmask?,"When the 'Can be drawn over' setting is enabled, any part of the image beneath the existing Bitmask that falls within the specified threshold range is included in the new label.",Where in the application can I find the option to modify the Bitmask by drawing over it?,"You can find this option by selecting the paintbrush icon, which represents the 'Can be drawn over' setting in the application."
432,How do I proceed after assigning trainees to the project?,"Once you have added trainees as a group or as individuals, click 'Create training program' to proceed.",Can I add more annotators to the project later?,"Yes, you can add more annotators to the project later.",What should I do if I need more information on how trainees are evaluated?,"For more information on trainee evaluation, contact support@encord.com."
554,How do I create a new folder in the Encord platform?,"To create a new folder, navigate to the 'Files' section under 'Index' and click on '+ New folder'. Then give the folder a meaningful name and description, and click 'Create' to finalize.",What information is needed to create a new folder?,You need to provide a meaningful name and description for the folder before clicking 'Create' to add it.,Where can I find the option to upload files within 'All folders'?,The option to upload files is located next to the '+ New folder' button on the right side of the 'All folders' section.
389,How do I add a group as collaborators in this application?,"To add a group as collaborators, click the 'Select group' drop-down, pick a group, then click the 'Select role' drop-down to assign a role to the group. Finally, click 'Add' to add the group.",What happens after I click 'Add' when managing groups?,"The group you just added will appear under the 'Added groups' heading, indicating it has been successfully added to the project with the specified role.",How can I remove a group from the project once it has been added?,"To remove a group, you simply click the option to delete it under the 'Added groups' section once it has been added, though the specific button for deletion is not visible in the screenshot."
172,How can I switch between viewing all labels and only the labels in the current frame?,Use option A to toggle between 'All' and 'Frame' views in the Labels pane.,What can I do if I want to view or hide details for an instance in the Labels pane?,Click on the option B icon to show or hide details for a specific instance.,"If I need to search for a specific instance, which option should I use?",Use the search option G to find a specific instance in the Labels pane.
683,What does the 'Label Metric Correlation' section display in the screenshot?,"The 'Label Metric Correlation' section displays a scatter plot comparing the quality metric values, specifically Width versus Height, to spot trends or correlations within the current filtered data.",How many labels are there in total according to the screenshot?,"According to the screenshot, there are a total of 14,186 labels.",What is the most frequently represented fruit class in the 'Label Class Distribution' chart?,"The most frequently represented fruit class in the 'Label Class Distribution' chart is 'cherry,' with 4,137 labels."
108,What does the 'HV:1591' label represent in the screenshot?,The 'HV:1591' label represents the Hounsfield value at the cursor's current position on the CT scan image. Hounsfield units are used to measure intensity values in CT scans.,How can I identify which frame is currently being viewed in the DICOM viewer?,"The current frame is indicated at the bottom of the screen, showing 'Frame 100/171'. This means frame 100 out of a total of 171 frames is being viewed.",What functionality do the icons at the top of the DICOM viewer interface provide?,"The icons at the top provide various functionalities, such as navigating through images, adjusting contrast and brightness, resetting views, and accessing settings. Specific icons include backward and forward navigation, share options, measurement tools, and other settings."
468,How can I view all the datasets available in my organization?,"To view all the datasets available in your organization, navigate to 'Datasets' under the 'Annotate' heading in the Encord platform and select the 'All Encord datasets' tab.",What happens when an Organization Admin joins a dataset?,"When an Organization Admin joins a dataset, they are automatically assigned the 'Admin' user role for that dataset.",How can I filter to see only the datasets that I belong to?,"To see only the datasets you belong to, click the 'Filter by' search bar and select 'My datasets only'."
519,How do I access the review queue for audio files in my project?,Go to 'Project > [Your Project Title] > Queue > Review' to access the Project Review Queue.,"Once I'm in the Project Review Queue, what should I do to start working on a file?",Click 'Initiate' next to a file from the Project Queue to open it in the Label Editor.,What happens after clicking 'Initiate' next to an audio file in the queue?,"When you click 'Initiate', two audio files appear in the Label Editor for labeling."
202,What does the icon with a brush and a line through it indicate in the application?,"The icon indicates a 'Cannot be drawn over' Bitmask, meaning no part of the image covered by this Bitmask is included in any other Bitmask labels.",How should I interpret areas marked with the 'cannot be drawn over' Bitmask while labeling?,Areas marked with the 'cannot be drawn over' Bitmask ensure that no image parts within these areas will be included in other Bitmask labels.,Is it possible to include parts of an image under a 'cannot be drawn over' Bitmask in a new label?,"No, any part of the image under a 'cannot be drawn over' Bitmask is excluded from any new Bitmask labels."
33,How do I access the Settings on Windows 11 to configure DNS?,Right-click on the Start button or press Windows + X to open the menu shown and then click on 'Settings'.,What should I do if I want to configure DNS for my Wi-Fi connection?,"After opening Settings, select 'Wi-Fi', then 'Hardware properties', and click 'Edit' next to 'DNS server assignment'.",What are the IPv4 DNS addresses I should use when configuring Google Public DNS?,You should use 8.8.8.8 and/or 8.8.4.4 as the IPv4 DNS addresses.
599,How can I delete multiple files at once in this application?,"To delete multiple files, right-click the selection of files you want to remove and select 'Delete'.",What happens if I delete a file that is part of a dataset?,Deleting a file removes it from all datasets it was added to.,How can I move files to a different folder?,"Right-click the selection of files and choose 'Move to another folder'. Then, in the dialog that appears, type the name of the target folder, select it, and click 'Move' to confirm."
706,What information does the F1 score chart provide?,The F1 score chart displays the F1 score per class for two different YOLO models: YOLOv8x 20 Epochs and YOLOv8 30 Epochs.,How can I adjust the prediction parameters in this application?,You can adjust the prediction parameters by modifying the IOU Threshold and the Min Confidence Threshold using the sliders in the Prediction Thresholds section.,Where can I find the comparison information for different model predictions?,"The comparison information for different model predictions is located under the 'Compare against' section, where you can see details about the prediction sets, number of frames, labels, and predictions for both the baseline and comparison models."
465,How can I add a new collaborator to this dataset?,You can add a new collaborator by clicking the '+ Invite collaborators' button and entering their email address.,What permissions does a 'Viewer' have?,A 'Viewer' cannot make changes to the dataset. Only an 'Admin' can make changes.,How can I change a collaborator from 'Viewer' to 'Admin'?,You can upgrade a collaborator to 'Admin' by clicking the 3 dots to the right of their name and selecting the upgrade option.
549,How do I add an annotator to the 'Annotate 1' stage?,"Click on 'Selective' under the 'Add annotators to stage' section, type in or select the email address of the annotator, and then click 'Add' to add them to the 'Annotate 1' stage.",Can I modify the workflow graph after creating the project?,"No, you cannot alter the workflow graph after project creation, as indicated by the note on the screen.",What roles are visible in the 'Review 1' stage?,"In the 'Review 1' stage, all available reviewers are listed, and roles such as 'Approved' and 'Rejected' are displayed."
