,index,Question 1,Answer 1,Question 2,Answer 2,Question 3,Answer 3
298,486,What do I do next to start the interpolation process in this interface?,"To start the interpolation process, click the 'Run interpolation' button at the bottom right corner of the 'Tracking and interpolation' section. Make sure you have selected the object instances you want to interpolate, as shown on the screenshot.",How can I adjust the range for interpolation in this tool?,You can adjust the interpolation range by setting the values in the 'Interpolation range' fields found in the 'Tracking and interpolation' section. The screenshot shows the range is set from frame 0 to frame 1740.,What options are available under the 'Method' heading for automated labeling?,"Under the 'Method' heading in the 'Tracking and interpolation' section, you can select 'Interpolation' for automated labeling. This is visible in the screenshot beside the 'Object & keypoint tracking; Interpolation' label."
299,392,What happens if I click 'Continue' in this prompt?,"Clicking 'Continue' will upgrade the collaborator to an admin, which is an irreversible action as the prompt explicitly states that this action cannot be undone.",How can I avoid making someone an admin if I changed my mind?,"To avoid making someone an admin, click the 'Cancel' button in the prompt. This will prevent the change from being applied.","I want to add a new collaborator to the project, what should I do next?","To add a new collaborator, click on the '+ Invite collaborators' button located at the bottom of the screen, next to the project options."
300,28,What do I need to do on this page to reset my password?,"To reset your password, you need to enter a new password in the 'Enter password' field, re-enter it in the 'Re-enter password' field, and then click the pink 'Submit' button.",How can I view the passwords I'm entering on this reset password page?,"To view the passwords you're entering, click the eye icon located next to each of the password fields.",What should I do next after submitting my new password?,"After clicking the 'Submit' button, you should be able to log into your Encord account using your new password as stated in the documentation."
301,488,How can I change the handle size in the drawing settings?,"To change the handle size, locate the 'Handle size' section and enter the desired pixel value in the input box, which currently shows '4px'.",What does the 'Freehand drawing' option do when enabled?,"When 'Freehand drawing' is enabled, it allows you to draw objects by tracing the cursor movement and supports stylus input. You can toggle it by switching the button next to 'Freehand drawing'.",What should I do next if I want to override interpolated labels when re-interpolating?,"To override interpolated labels when re-interpolating, enable the 'Interpolation auto adjustments' option by toggling the switch labeled 'Override interpolated labels when re-interpolating' to the on position."
302,706,What do the red and blue dots represent in the F1 Score graph?,"The red dots represent the F1 scores for the YOLOV8x 20 Epochs model, while the blue dots represent the YOLOV8 30 Epochs model, as indicated in the legend above the graph.",What should I do next to analyze the predictions for a specific class?,"In the right-hand panel, under 'Classes', you can select a specific class. This will adjust the F1 Score graph to display data specific to the selected class.",How can I adjust the prediction output of the model using thresholds?,You can adjust the prediction output by modifying the IOU Threshold and Min Confidence Threshold sliders found in the 'Prediction Thresholds' section on the right side of the screen.
303,134,What does the 'View full study' button do in this interface?,"The 'View full study' button allows you to view all series belonging to a study side-by-side, as indicated above the screenshot in the documentation.",How can I see how many series are being viewed in this study?,"The interface shows '2/6 series' at the top, indicating that 2 out of 6 series in the study are currently being viewed.",What do I do next if I want to hide the full study view?,"To hide the full study view, toggle the 'View full study' button, which will change it into the 'Hide full study' button, according to the documentation below the screenshot."
304,278,How can I change the detection range of frames for the model?,"To change the detection range, adjust the numbers in the 'Detection range' fields labeled '0' to '696'. Input your desired start and end frames for the model to detect objects within that range.",What should I do next to run the model with the current settings?,"To run the model with the current settings, click on the 'Run model' button at the bottom right of the screen.",How do I enable object tracking for the detection process?,"To enable object tracking, toggle the switch labeled 'Tracking enabled' under the 'Advanced settings' section. Ensure it is turned on before running the model."
305,540,What does clicking the 'Relation' toggle toggle on the 'Hoof #relation' affect in this interface?,"Clicking the 'Relation' toggle changes its state. In the screenshot, it is currently shown in red, indicating the relation is active. This affects how objects such as 'Hoof' are related to others like 'Horse' in the ontology.",How can I edit classifications for the 'Hoof' object in this interface?,"To edit classifications for the 'Hoof' object, click on the button labeled 'Edit classifications' for that particular object, as indicated in the documentation alongside using the Label Editor tools.",What do I do next to assign a relation between a 'Horse' and a 'Hoof' in the Label Editor?,"Next, ensure you have both instances labeled. Then, in the Label Editor, use the 'Edit classifications' button for the 'Hoof' object to establish the relationship, since objects are linked during annotation as mentioned in the documentation."
306,427,How do I add a new label to the blueberries video?,"To add a new label to the blueberries video, click on 'Edit approved labels' at the top right. This allows you to modify or add labels to your data unit.",What should I do if I am unsure whether to label the fruit as Blueberry or Cherry?,"Refer to the section 'Blueberry or Cherry?' on the left. It highlights the label options and discrepancies, such as the current selection of Blueberry from frames 0 to 90.",What are the steps I need to follow after editing labels if I want to approve my task?,"After editing the labels, click 'Approve labels' to confirm the changes. Then, select 'Approve task' at the top right to finalize your approval for this data unit."
307,302,How can I change the percentage of labels to be manually reviewed?,"To change the percentage of labels to be manually reviewed, use the 'Sampling rate' slider at the top of the Quality section. Currently, it is set to 100%.",What are the default reasons for rejecting a label annotation?,"The default rejection reasons provided in the screenshot include: 'box_not_tight_enough', 'polygon_off', 'wrong_class', and 'no_nested_attributes'. You can add more using the '+ Add reject reason' button.",What should I do next to set up a specific reviewer for a task that has been rejected multiple times?,"To set up a specific reviewer for tasks rejected multiple times, enable the 'Expert reviewer rule' option and specify the number of rejections (e.g., 'After 2 rejections') before assigning the task to selected expert reviewers such as 'eric.landau@cord.tech'."
308,352,How can I attach the 'Football videos part 3' dataset to my project?,"To attach the 'Football videos part 3' dataset, locate it in the list under the 'All datasets' tab and click the 'Attach' button next to it.",Is there an option to create a new dataset directly from this interface?,"Yes, you can create a new dataset by clicking the '+ New Dataset' button located at the top right corner of this interface.",What do I do next after selecting the datasets I want to attach to my project?,"After selecting the datasets you want to attach, click the 'OK' button in the bottom right corner to finalize attaching the dataset(s) to your project."
309,535,How do I start labeling the video in the queue?,"To start labeling the video, click on the 'Initiate' button next to the 'apple_video' file in the Queue section.",What does the 'Priority' number mean in the queue list?,"The 'Priority' number, such as '50' next to the 'apple_video' file, indicates the priority level assigned to that task in the workflow.",What do I do next to apply a classification to the 'apple_video' file?,"After selecting 'Initiate' to start labeling 'apple_video', choose the desired classification from the list on the left in the Label Editor, then apply it using the appropriate method: typing for text classification, selecting for radio buttons, or checking for checklists."
310,320,How can I change the date range to see a different period on this chart?,"To change the date range, click on 'A' where the current date range (2023-04-13 to 2023-04-17) is displayed, and then select your desired range of dates.",I want to analyze this data offline. How can I download it?,"You can download the data by clicking on 'B', which is the 'Download CSV' button, located above the chart.",What should I do next to view this data in a table format?,"To display the data in a table format, click on 'C', specifically the 'Table' button next to 'Chart' above the graph."
311,173,How can I start tracking an object from this frame?,"To start tracking an object from this frame, click on the 'Track from this frame' option in the menu. This will initiate single object tracking according to the editor settings.",I need to copy the identifier of an object. What steps should I follow?,"To copy the identifier of an object, select 'Copy identifier' from the menu. This will copy the unique alphanumeric ID of the object to your clipboard.",What do I do next to split the object track at a specific frame?,"To split the object track at a specific frame, navigate to the menu and click on 'Split object track'. This splits the labels from one instance into two at the frame you specify."
312,678,How can I adjust the priority of tasks in the 'Send to Annotate' dialog?,"In the 'Send to Annotate' dialog, you can adjust the priority of tasks using the slider labeled 'Adjust priority of tasks' located at the top of the window. You can set it from Low to High.","If I want to delete all existing labels in the frames, how can I do that?","To delete all existing labels in the frames, toggle the 'Delete all existing labels' switch to the on position in the 'Send to Annotate' dialog. Note that this action cannot be undone.",What do I do next to complete sending a collection to Annotate after setting my preferences?,"After setting your preferences in the 'Send to Annotate' dialog, click the red 'Submit' button at the bottom right to complete sending the collection to Annotate."
313,63,How do I edit the DNS server assignment for my Ethernet connection?,"In the screenshot, click the 'Edit' button next to 'DNS server assignment' under Network & Internet > Ethernet settings.",What steps should I follow after clicking 'Edit' next to DNS server assignment?,"After clicking 'Edit', select 'Manual' from the drop-down menu, toggle 'IPv4' to 'On', and replace any existing IP addresses with Google's DNS servers: 8.8.8.8 and/or 8.8.4.4.",Where can I find the setting to set a data limit for my network on this page?,"On the screenshot, the setting to 'Set a data limit to help control data usage on this network' is located right under the 'Metered connection' toggle in the Ethernet settings."
314,78,How can I add a new public key in the Encord application?,"To add a new public key, click the '+ New key' button visible on the right side of the screen in the Public Keys section.",What details are displayed for an existing public key?,"For the existing 'DB public key', the key details such as '55174f75efcf03d198b83e184101487ee36b1ba6f4f845de88636ab52ae0ccbe' are displayed. There's also an option to delete the key using the trash icon.",What do I do next to register my public key after generating it?,"Next, navigate to the 'Public keys' section in the Settings. Click on '+ New key', enter a title for your public key, paste the key in the provided field, and then click 'Create' to add it."
315,401,Which review stage will user 'kenny' be routed to according to the screenshot?,"User 'kenny' will be routed to 'Review stage A' as shown in the 'Collaborator router' box under the list 'kenny, celine'.","If 'rad' completes a task, where will it be sent for review according to the diagram?","If 'rad' completes a task, it will be sent to 'Review stage B' as indicated in the 'Collaborator router' box under the list 'rad, rizwan, siarhei'.",What do I do next to add a collaborator to the router based on the instructions?,"To add a collaborator to the router, you must first ensure that an input is connected. Then, click 'Add pathway' to select collaborators from the previous stage, and finish by clicking 'Add'."
316,132,What does the 'Editor switch' button do?,The 'Editor switch' button enables you to select any series being displayed to be annotated without having to return to the task management system.,How can I annotate a series from this screen?,"To annotate a series, click the 'Editor switch' button depicted as a square with a pencil icon to select the series you want to annotate.",What do I do next to begin annotating a series?,"Next, you should click on the 'Editor switch' button. This will allow you to choose the series you wish to annotate directly from the current screen."
317,133,How do I start annotating the series displayed in the screenshot?,"To start annotating the displayed series, click on the 'Start annotating' button located at the top of the image panel to the right.",What are the classification options available for annotation?,"The classification options available for annotation are listed under 'Classes' on the left side of the screen and include: lung, nodule, artifact, POI, Line, and lungrads.",What do I do next to view additional slices in the study?,"To view additional slices in the study, use the navigation controls located at the bottom of the image panel, which allow you to move through the slices by clicking the left or right arrow buttons."
318,248,How can I download the label export that just completed?,"To download the completed label export, click on 'Click to download' below 'Keypoint image' in the notification.",I missed the notification for my label export completion. Where else can I download it from?,"You can download your labels from the notification menu. Click the bell icon in the top left corner of the platform, and click the export icon next to the export you want to download.",What do I do next after selecting the files and export options in the application?,"After selecting the files and export options, press the 'Export' button to start the export process. You can monitor progress via the notification bell icon in the top-right of the page."
319,210,How can I identify the duration the 'lake' object is visible in the video on the timeline?,The 'lake' object is visible from the start of the video at 0:00 and continues for the first 7 seconds as indicated by the solid brown bar labeled 'lake' on the timeline.,Where can I find details about when and how long the 'boat' object appears in the video?,"The 'boat' object has three instances shown as blue bars on the timeline. You can see these bars positioned at different times, starting shortly after the beginning of the timeline, with varying lengths indicating different durations.",What do I do next to view specific attributes of an object on the timeline?,"To view specific attributes of an object, hover over the object's representation on the timeline. This action displays the frame range and any associated attributes. Clicking on a specific frame number will navigate you to that frame."
320,265,How do I change the role of a collaborator from Admin to Viewer?,"To change a collaborator's role, click the dropdown next to their email address in the 'Team' section under 'Settings'. However, an Admin cannot be reverted to a Viewer directly. To revoke Admin access, you need to contact support at support@encord.com.",What steps should I take to add a new collaborator to the ontology?,"To add a new collaborator, click the '+ Invite collaborators' button in the 'Individuals' tab under the 'Team' section in the 'Settings'. Then, enter the collaborator's email to send an invitation.",What do I do next to update the description of this ontology?,"To update the description, click the pencil icon next to 'Enter description (optional)' at the top of the 'Settings' page. You can then type in the new description for the ontology."
321,550,What is the purpose of the 'Explorer' tab in this interface?,"The 'Explorer' tab is designed to help users view and analyze data in the 'Validation BDD Dataset'. It provides functionalities such as filtering data and viewing collections, as evidenced by the thumbnails and data metrics (e.g., 'Random Value', 'Collections') visible in the screenshot.",How can I access the label validation features mentioned in the documentation?,"To access label validation features, you would likely use the 'Active' section in the left sidebar, which might contain tools for validating and optimizing labels as it is highlighted. The documentation above mentions using Encord Embeddings and custom filtering, which are functionalities that might be accessed from this section.",What should I do next to evaluate my model's performance after viewing this data?,"To evaluate your model's performance, according to the documentation, first, train your model on the exported annotations. Then, import your model predictions into Encord Active. Use the tools under the 'Model Evaluation' tab for advanced analytics and quality metrics. This will help identify weak spots and obtain actionable insights, as described below the screenshot."
322,339,How can I delete my project?,"To delete your project, navigate to the 'Danger zone' tab in the menu on the left, then click the blue 'Delete project' button in the main panel.",What happens to the datasets in my project if I delete it?,"Deleting your project will not delete the datasets, but it will remove the project's labels and ontology as indicated in the documentation below the screenshot.",What do I do next if I want to start labeling data?,"To start labeling data, click on the red 'Start labelling' button located at the top right of the main panel."
323,103,How can I change the frameskip interval for viewing the CT scan slices?,"To change the frameskip interval, select one of the predefined values from the dropdown menu on the left side of the screen, which includes options like 1, 6, 12, and so on. Alternatively, you can enter a custom value in the 'New' input field and click the Plus icon to set it.","What is the current slice number being viewed, and how many total slices are there in the series?","The current slice number being viewed is 541, as indicated at the bottom center of the screen, and there are a total of 1022 slices in the series.",What do I do next to add a custom frameskip interval for analyzing the CT scan effectively?,"To add a custom frameskip interval, type your desired interval value into the 'New' input box located in the dropdown menu on the left. After entering your value, click the Plus icon to add it to your frameskip options."
324,149,How do I create a new skeleton template in this interface?,"To create a new skeleton template, click on the red '+' button under the 'Create' section on the left side of the screen.",What do the different colors represent in the Head keypoints section?,"The different colors represent various keypoints: pink is 'Top of head', blue is 'Bottom of head', olive is 'Front of head', and maroon is 'Back of head'.",What do I do next to delete a template?,"To delete a template, select it by clicking on its name, and then click the 'Delete template' button on the right side of the screen."
325,428,How do I start creating a new training project?,"To start creating a new training project, click on the '+ New training project' button, which is located in the top-right corner under the 'Training projects' tab in the 'Projects' section.",Where can I find my existing training projects?,"Your existing training projects are listed under the 'Training projects' tab in the 'Projects' section. Each project shows details like the name, annotation training status, progress percentage, and creation date.",What do I do next after creating a new training project?,"After creating a new training project, choose a meaningful name and description for your annotator training project. Then, click 'Next step' to proceed, following the instructions below the screenshot."
326,229,How can I annotate an object as a 'Flower' in this image?,"To annotate an object as a 'Flower', first select 'Flower' from the 'Classes' section on the left. Then, use the annotation tools at the top of the screen to draw around the desired object.",What do I do next to classify the butterfly further?,"Next, you should click on the existing 'Butterfly' label in the 'Labels' section on the left. Then, you can add or modify the sub-classification 'Type of butterfly' and input additional details.",How can I adjust the bounding box around the butterfly?,"To adjust the bounding box, click on the corners or edges of the magenta bounding box around the butterfly in the image. You can then drag to resize or reposition it as needed."
327,671,What should I do first to start the Predictions Workflow?,"To start the Predictions Workflow, you need to import your predictions into the Annotate Project, as indicated by the first step 'Import Predictions' in the screenshot.",What is the next step after importing predictions into the Annotate Project?,"After importing predictions into the Annotate Project, the next step is to 'Import/Sync Project' in Active, as shown in the second step of the workflow diagram.",How can I analyze the predictions once they are synchronized?,"Once the project is imported or synced, you should proceed to 'Analyse Predictions' according to the third step in the workflow diagram to specify and analyze the prediction set in Active."
328,433,How do I invite a new annotator in this project?,"To invite a new annotator, click on the 'Settings' tab, go to 'Team', then click on 'Invite collaborators'. Enter the email address of the annotator in the provided field and click the 'Add' button.",What is the role of the person with admin privileges?,"The person is listed as 'Admin' next to their name under the 'Individuals' section. They have administrative privileges, which typically include managing project settings, adding or removing team members, and overseeing the entire project workflow.",What do I do next to ensure all annotators are ready for the training project?,"After adding annotators, check the summary screen to confirm that the number of tasks and annotators align. For example, with 4 tasks and 4 annotators, you should expect a total of 16 tasks assigned."
329,446,How can I view the tasks contained in a specific annotation stage?,"To view the tasks contained in a specific annotation stage, click on the stage listed on the left under 'Queue', such as 'Annotate 1'. This will display the tasks contained in that stage.",What should I do if I want to start annotating an unassigned task?,"To start annotating an unassigned task, click the 'Initiate' button next to the task. This will assign the task to you and allow you to begin working on it.",What is the next step to start working on the highest priority task in my queue?,"To start working on the highest priority task, click the 'Start labeling' button located in the top right corner. This will open the Label Editor with the highest priority task."
330,332,How can I invite a new collaborator to my project?,"To invite a new collaborator, click the '+ Invite collaborators' button on the top right of the 'Individuals' section.",What role can I assign to a collaborator?,You can assign the 'Admin' or 'Annotator' role by selecting the appropriate option from the dropdown menu next to the collaborator's email.,What do I do next to add a collaborator after clicking the invite button?,"After clicking the '+ Invite collaborators' button, enter the email address of the person you'd like to invite, select a role from the dropdown list, and click the 'Add' button to complete the process."
331,552,What is the purpose of the 'Index' component in this workflow?,"The 'Index' component is used to manage and select the right data for your AI application. It's specifically designed for Data Engineers and ML Engineers to handle data storage and organization, as indicated in the screenshot.",How can I transform my raw data into AI data as shown in the workflow?,"To transform raw data into AI Data, you need to go through the stages of Index, Annotate, and Active. Raw data from cloud services like AWS and GCP is managed in the 'Index' stage, labeled and validated in 'Annotate,' and then refined and debugged in 'Active' before it becomes AI Data.",What do I do next to prepare my data for model training after indexing?,"After indexing your data, the next step is to use the 'Annotate' component. This involves orchestrating human-in-the-loop workflows to create ground truth, ranking, and validation for your data. This step is critical for transforming the data into high-quality datasets ready for model training, as shown in the screenshot."
332,668,How do I start a new project in the application?,"To start a new project, click on 'Create project', which is located in the top left of the workflow diagram.",What is the next step after reviewing prediction metrics?,"After reviewing prediction metrics, the next step is to 'Create collections', as indicated by the arrow moving from 'Review Prediction metrics' to 'Create collections' in the diagram.",How can I send data for annotation?,"To send data for annotation, follow the step 'Send to Annotate', which comes after creating collections in the workflow diagram."
333,683,What does the 'Label Metric Correlation' graph show about the relationship between width and height?,"The 'Label Metric Correlation' graph shows a positive correlation between width and height. Most data points cluster near the bottom-left, with a line indicating the trend upwards.",Which fruit has the highest number of labels according to the 'Label Class Distribution'?,"The 'Label Class Distribution' shows that 'cherry' has the highest number of labels, totaling 4,137.",What do I do next to explore the issues found in the data?,"To explore the issues found in the data, click on the '3,535 issues found' button next to the number of labels. This will likely open a detailed view or report of these issues."
334,240,What does the green paintbrush icon allow me to do in the application?,"The green paintbrush icon is likely associated with annotation or drawing tools within the application, allowing you to create or edit visual elements.",How do I ensure that my drawing covers all necessary parts of the Bitmask?,"Make sure the area you draw over includes all necessary components, as the 'Must be drawn over' setting will include any part of the Bitmask label, regardless of threshold settings.",What is the next step if I need the 'Bitmask overlap' feature but it is unavailable to me?,"If you need the 'Must be drawn over' setting for Bitmask overlap and it is unavailable to you, contact support@encord.com to inquire about availability and possible access."
335,231,How can I enable free-hand drawing mode to adjust the polygon around the flower?,"You can enable free-hand drawing mode by pressing the <kbd>d</kbd> key on your keyboard. Once activated, you can adjust the polygon around the flower visible in the screenshot.",What are the class and label properties for the lotus stem that's currently selected on the canvas?,"The selected lotus stem is labeled 'Lotus stem in water 1', and it belongs to the class 'Lotus stem in water'. This is evident from the highlighted path and corresponding label on the left panel of the editor.",What do I do next to close the polygon I've drawn around the Lotus flower?,"To close the polygon around the Lotus flower, double-click anywhere on the canvas. This action will snap and create an edge between the last and the first vertex drawn, completing the polygon."
336,159,What does the icon of the crossed-out paintbrush mean in the context of this application?,"The crossed-out paintbrush icon represents the 'Cannot be drawn over' bitmask functionality, meaning no part of the image covered by this bitmask is included in other bitmask labels.",How can I include a specific area in the next label using the bitmask feature?,"To include a specific area in the next label, use the 'Can be drawn over' bitmask option. Any part of the image beneath the existing bitmask that falls within the specified threshold range will be included in the next label.",What do I do next to prevent an area from being included in multiple labels?,"To prevent an area from being included in multiple labels, use the 'Cannot be drawn over' feature, indicated by the crossed-out paintbrush icon, to ensure the areas covered by this bitmask are excluded from other bitmask labels."
337,331,How can I add a new collaborator to this project?,"To add a new collaborator, click on the '+ Invite collaborators' button on the right side of the screen.",What role does 'alexey@cord.tech' hold in this project?,"The user 'alexey@cord.tech' holds the role of 'Admin' in this project, as indicated by the label next to their email.",What do I do next to start labeling the dataset?,"To start labeling the dataset, click on the 'Start labelling' button located at the top right of the screen."
338,298,How can I categorize my Manual QA project using tags?,"You can categorize your Manual QA project by entering relevant tags in the 'Tags' field, which is optional. This field is located under the 'Project settings' section, where it says 'Enter tags (optional)'.",What do I do next to attach a dataset to my project?,"To attach a dataset to your project, click on the 'Attach dataset' button located under the 'Datasets' section. This button is found at the bottom of the 'Project settings' panel on the screen.",Where do I input the title for my Manual QA project?,"You can input the title for your Manual QA project in the 'Title' field under the 'Project settings' section. In the example shown, the title is currently 'Chickens'."
339,376,How can I copy this project and its assets?,"To copy the project and its assets, click the 'Copy project' button located in the 'General' section under 'Options'.",Where do I configure the sampling rate for quality checks?,The sampling rate can be configured in the 'Quality' section by adjusting the slider next to 'Sampling rate'. Click 'Configure sampling rate' for more detailed settings.,What do I do next to add annotation instructions to my project?,"To upload annotation instructions, click on the '+ Add instructions' button under the 'General' section in 'Options'. This allows you to upload a PDF of the annotation instructions."
340,458,How can I add new files to my 'Ski images' dataset?,"To add new files to the 'Ski images' dataset, click the '+Upload files' button located in the top right corner above the file list.",What do I do next to attach existing files to my dataset?,"To attach existing files to your dataset, click the '+Attach existing files' button on the right, just next to the '+Upload files' button.",Can I view more details about an image in the 'Ski images' dataset?,"Yes, you can view more details about an image by clicking 'View details' next to the image file name, such as 'skiing.jpg'."
341,75,How do I add a new public key in this interface?,"To add a new public key, click on the red '+ New key' button located on the right side of the screen in the Public keys section.",Where can I search for existing public keys?,"You can search for existing public keys in the search bar labeled 'Search public keys' located below the tabs for General, Integrations, Public keys, and Notifications.",What do I do next to register a new public key?,"After clicking the '+ New key' button, follow the prompts to generate or register your new public key. This action will allow you to manage your keys within the settings."
342,703,What does the 'Average Precision' graph represent in the Model Evaluation section?,"The 'Average Precision' graph in the Model Evaluation section shows the average precision per class, comparing two models: YOLOV8x 20 Epochs (in red) and YOLOV8x 30 Epochs (in blue). Each dot on the graph represents the precision score for different classes such as car, pedestrian, and truck.",How can I adjust the model evaluation thresholds?,"To adjust the model evaluation thresholds, you can use the 'Prediction Thresholds' sliders on the right side of the screen. These include the IOU Threshold and the Min Confidence Threshold, which are currently set to 0.50 and 0.00, respectively.",What do I do next to compare models on precision rather than average precision?,"To compare models on precision rather than average precision, navigate to the 'Precision' tab under 'Model Performance' in the left menu. This will allow you to view and compare the precision scores of the models."
343,529,How can I reject the classifications on the audio file 'woof.mp3'?,"To reject the classifications on 'woof.mp3', press the 'Reject task' button located at the top right of the screen.",What files are currently being reviewed in this interface?,The files currently being reviewed are 'woof.mp3' and 'woof_long.mp3' as shown in the pending reviews section.,What do I do next to move these tasks to the Annotate stage?,"After rejecting the tasks by clicking 'Reject task', the tasks will appear in the 'Annotate' stage as described in the documentation."
344,716,How can I identify which images are near-duplicates based on the screenshot?,"In the screenshot, the two images are similar but differ in slight shifts and angles. Look for these subtle differences, such as the position of the bottle in the sand, to identify near-duplicates.",What do I do next to create a Collection of these near-duplicate images?,"After identifying the near-duplicate images, click on the 'Add to a Collection' button. Then, click 'New Collection', name it meaningfully, and add the selected near-duplicate images.",Why is it important to adjust the filter values when managing these images?,"Adjusting the filter values ensures that you capture images with scores indicating near-duplication. This helps in specifically isolating images like those in the screenshot, which have slight variances."
345,51,How do I add a new DNS server address?,Click the '+' button located under the 'DNS Servers' section on the left side to add a new DNS server address. You will then be able to type in the new address.,What do I do next to configure my DNS settings after clicking the '+' button?,"After clicking the '+' button in the 'DNS Servers' section, type '8.8.8.8' in the text field to add Google's public DNS server, as per the documentation instructions.",Where can I find the current DNS server addresses?,"The current DNS server addresses are listed in the 'DNS Servers' section on the left. If none have been added, the section may be empty."
346,390,What is the purpose of the trash bin icon in the screenshot?,The trash bin icon in the screenshot is used to delete a group from the project. You can click this button next to the group name to remove it from the 'Added groups' list.,Is there a visual cue that indicates how to delete a group?,"Yes, there is a blue circular icon with a white trash bin in the center. Clicking this icon next to the group name will delete the group from the project.",What do I do next to remove a group from the project?,"To remove a group from the project, click the blue trash bin button next to the group's name under the 'Added groups' heading."
347,314,What is the name of the file currently selected for task assignment?,"The file currently selected is named 'BerghouseLeopardJog.mp4', as shown in the Title column.",How can I confirm that the correct collaborator is selected for task assignment?,"The selected collaborator's email is 'justin+an1@cord.tech', displayed in the drop-down box below the file name.",What do I do next to assign the selected task to a collaborator?,"To assign the task, ensure the correct collaborator is selected in the drop-down, then click the red 'Assign' button at the bottom right of the popup."
348,81,How do I reset the layout to the default in the Label Editor?,"To reset the Label Editor to the default layout, click the 'Reset layout to default' icon in the toolbar, which looks like a rotating arrow.",What do I do next to annotate the L-MLO image?,"To annotate the L-MLO image, click on the image itself in the layout to start adding annotations, as indicated by the other images in the annotation state.",Where can I change the layout to the auto layout?,You can change the layout to the auto layout by selecting it from the hanging protocols menu accessible near the layout adjustment icons on the toolbar.
349,362,How can I assign the 'BerghouseLeopardJog.mp4' task to a collaborator?,"To assign the 'BerghouseLeopardJog.mp4' task, select the collaborator's email from the drop-down menu under the task details. The current selection is 'justin+an1@cord.tech'. Then, click the red 'Assign' button at the bottom right to finalize the assignment.",What type of file is 'BerghouseLeopardJog.mp4' and which dataset does it belong to?,'BerghouseLeopardJog.mp4' is a video file with the type 'video/mp4'. It belongs to the 'Switzerland Drone Footage' dataset as indicated under the 'Dataset' column.,What do I do next to annotate the 'BerghouseLeopardJog.mp4' file?,"To annotate the 'BerghouseLeopardJog.mp4' file, click the green 'Annotate' button located in the 'Task' column next to the file details."
350,92,How often are my labels being auto-saved according to the current settings?,The labels are being auto-saved every 120 seconds as shown in the Auto-save interval setting.,What should I do next to change the mouse wheel zoom direction?,"To change the mouse wheel zoom direction, toggle the 'Invert mouse wheel zoom direction' switch from off to on, which will enable the 'Scroll up to zoom in' feature.","Is the 'Show skip to next annotation button' feature currently enabled, and what does it do?","Yes, the 'Show skip to next annotation button' feature is currently enabled as indicated by the red toggle. This feature adds controls to navigate directly between frames with annotations."
351,542,How do I link the 'Wing' to the 'Chicken' instance in this frame?,"To link the 'Wing' to the 'Chicken' instance, first click on the 'Set relation...' bar. In the dropdown, under the 'This frame' heading, select 'Chicken (0)'. This will allow you to link the 'Wing' instance to the 'Chicken' instance within the same frame.",What indicates that the instances have been successfully linked?,"Once the instances are successfully linked, click 'Done'. The linked instances will be displayed in the 'Instance labels' section with the name of the linked instance, such as 'Chicken' being shown with a link icon.",What’s the next step after selecting the instance I want to link?,"After selecting the instance you want to link, click the 'Done' button located at the bottom left of the interface. This will complete the linking process and the linked instances will be displayed in the 'Instance labels' section."
352,13,How do I attach a model to my project in this interface?,"To attach a model, navigate to the 'Models' tab and click on the '+ Attach a model' button, which is located on the right side of the screen next to the 'New' label.",What is the purpose of the 'Models' tab highlighted in the screenshot?,The 'Models' tab provides options to attach models to your project and manage them. It is part of the process to incorporate and map model ontologies with your project's entities.,What's the next step after clicking the '+ Attach a model' button?,"After clicking the '+ Attach a model' button, select the model you want to attach and map each model ontology to the corresponding entity in the Project's ontology, as indicated in the documentation."
353,97,How can I change the default zoom level for the single label review?,"To change the default zoom level for single label review, go to 'Editor settings' under 'General settings'. Adjust the 'Set the default zoom level for single label view' to your preferred percentage using the up and down arrows. It is currently set to 30%.","What is the current auto-save interval set to, and how can I modify it?","The current auto-save interval is set to 120 seconds. To modify it, go to 'Editor settings' and locate the 'Auto-save interval' option under 'General settings'. Change the value to your desired interval.",What do I do next to enable turbo mode in the editor settings?,"To enable turbo mode, go to 'Editor settings' and find the 'Turbo mode' toggle under 'General settings'. Switch it on to navigate through one class instance at a time."
354,532,How can I ensure my dataset is properly titled and described?,"You should provide a clear and meaningful title in the 'Title of dataset' field and add a relevant description in the 'Description (optional)' field. In the screenshot, the title is 'Cows and Chickens' and the description is 'Videos of cows and chickens'.",What should I do next to create this dataset after filling out the title and description?,"After you have filled out the title and description, click on the 'Create dataset' button at the bottom right corner of the window to create your dataset.",What does the toggle switch labeled 'Create a synced folder with this dataset' control in this interface?,"The toggle switch labeled 'Create a synced folder with this dataset' is currently shown in the off position. If toggled on, it will likely create a synced folder linked to your dataset."
355,295,How do I change the role of 'ulrik@cord.tech' to 'Reviewer'?,"In the screenshot, locate 'ulrik@cord.tech' under the 'Team' section. Click on the dropdown menu next to the current role 'Annotator', then select 'Reviewer' from the list.",What do I do next to delete a collaborator from the project?,"To delete a collaborator, click the trash bin icon next to their role in the 'Team' section of the screenshot.",Can I change the role of 'alexey@cord.tech' from 'Admin' to another role?,"No, you cannot change the role of 'alexey@cord.tech' since they are an 'Admin'. The documentation note mentions that admin roles cannot be changed."
